"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1311","After successful payment the cart should be empty (three items in the cart)","","Tue Jun 10 08:32:05 GMT 2025","passed","Tue Jun 10 08:32:07 GMT 2025","","Verify successful payment clear the cart","",""
"","1224","After successful payment the cart should be empty (one item in the cart)","","Tue Jun 10 08:32:04 GMT 2025","passed","Tue Jun 10 08:32:05 GMT 2025","","Verify successful payment clear the cart","",""
"","317","Verify order button restriction with empty cart","","Tue Jun 10 08:31:52 GMT 2025","passed","Tue Jun 10 08:31:52 GMT 2025","","Increase Items in Cart","",""
"","1255","should submit payment form with valid inputs","","Tue Jun 10 08:31:54 GMT 2025","passed","Tue Jun 10 08:31:55 GMT 2025","","Verify Payment Form Accepts Valid Inputs","",""
"","1694","should reject invalid email formats and keep payment modal visible","","Tue Jun 10 08:32:08 GMT 2025","passed","Tue Jun 10 08:32:10 GMT 2025","","Verify Invalid Email Formats In Payment Form","",""
"","669","Verify Pop-up Cart Functioning With Plus And Minus Buttons","","Tue Jun 10 08:32:14 GMT 2025","passed","Tue Jun 10 08:32:15 GMT 2025","","[TC7] Verification of pop-up cart functioning (buttons +/-)","",""
"","876","Should show and hide lucky day popup correctly","","Tue Jun 10 08:32:11 GMT 2025","passed","Tue Jun 10 08:32:12 GMT 2025","","Lucky Day Popup Tests","",""
"","595","Verify that user can increase the number of items in the Cart","","Tue Jun 10 08:31:49 GMT 2025","passed","Tue Jun 10 08:31:50 GMT 2025","","Increase Items in Cart","",""
"","701","visits the app","","Tue Jun 10 08:32:02 GMT 2025","passed","Tue Jun 10 08:32:02 GMT 2025","","My First Test","",""
"","1659","Keeps data after closing on Menu page but clears it on Cart page","","Tue Jun 10 08:31:57 GMT 2025","passed","Tue Jun 10 08:31:59 GMT 2025","","[RET-01] Payment Modal retain / reset","",""
"","1091","Verify that user can decrease the number of items in the Cart","","Tue Jun 10 08:31:47 GMT 2025","passed","Tue Jun 10 08:31:48 GMT 2025","","Decrease Items in Cart","",""
